name,description,price,stock,categoryId
Nike Premier Ball,Official Nike Premier League football ball,45000,50,1
Adidas Ultraboost Sneakers,Running sneakers with Boost technology,320000,25,3
Puma Sports Jersey,Sports jersey with DryCELL technology,85000,100,4
Nike Basketball Ball,Official Nike Elite basketball ball,120000,30,2
Speedo Swimming Goggles,Professional swimming goggles,65000,40,10
Wilson Tennis Racket,Wilson Pro professional tennis racket,280000,15,3
Trek Mountain Bike,Trek mountain bike with 21 speeds,1500000,8,8
Everlast Boxing Gloves,Professional 12oz boxing gloves,95000,35,11
Titleist Golf Ball,Professional Titleist golf balls,25000,200,7
Bauer Hockey Skates,Professional ice hockey skates,450000,12,6